ID,X1,X2,X3,X4,X5
1,0.48,3.48,4.48,12.48,-4.52
2,1.47,4.47,3.47,12.47,-3.53
3,2.66,5.66,2.66,12.66,-5.34
4,4.35,7.35,2.35,13.35,-1.65
5,5.51,8.51,5.51,13.51,-5.49
6,5.6,4.6,3.6,12.6,-4.4
7,7.23,6.23,3.23,13.23,-2.77
8,8.47,7.47,2.47,13.47,-4.53
9,9.28,8.28,5.28,13.28,-1.72
10,10.29,9.29,4.29,13.29,-5.71
11,11.51,6.51,3.51,13.51,-3.49
12,11.81,6.81,1.81,12.81,-3.19
13,12.84,7.84,4.84,12.84,-5.16
14,14.01,9.01,4.01,13.01,-1.99
15,14.66,9.66,2.66,12.66,-6.34
16,15.7,6.7,1.7,12.7,-4.3
17,16.51,7.51,4.51,12.51,-3.49
18,18.26,9.26,4.26,13.26,-4.74
19,18.87,9.87,2.87,12.87,-2.13
20,19.7,10.7,1.7,12.7,-6.3
21,20.79,3.79,4.79,12.79,-4.21
22,21.63,4.63,3.63,12.63,-3.37
23,23.51,6.51,3.51,13.51,-4.49
24,23.5,6.5,1.5,12.5,-2.5
25,25.35,8.35,5.35,13.35,-5.65
26,25.91,4.91,3.91,12.91,-4.09
27,26.66,5.66,2.66,12.66,-3.34
28,27.6,6.6,1.6,12.6,-5.4
29,28.57,7.57,4.57,12.57,-2.43
30,29.83,8.83,3.83,12.83,-6.17
31,31.54,6.54,3.54,13.54,-3.46
32,31.9,6.9,1.9,12.9,-3.1
33,33.05,8.05,5.05,13.05,-4.95
34,34.26,9.26,4.26,13.26,-1.74
35,35.02,10.02,3.02,13.02,-5.98
36,35.83,6.83,1.83,12.83,-4.17
37,36.55,7.55,4.55,12.55,-3.45
38,37.47,8.47,3.47,12.47,-5.53
39,39.38,10.38,3.38,13.38,-1.62
40,39.57,10.57,1.57,12.57,-6.43
41,40.58,3.58,4.58,12.58,-4.42
42,41.88,4.88,3.88,12.88,-3.12
43,43.53,6.53,3.53,13.53,-4.47
44,43.72,6.72,1.72,12.72,-2.28
45,45.06,8.06,5.06,13.06,-5.94
46,45.99,4.99,3.99,12.99,-4.01
47,47.26,6.26,3.26,13.26,-2.74
48,48.04,7.04,2.04,13.04,-4.96
49,49.54,8.54,5.54,13.54,-1.46
50,50,9,4,13,-6
51,50.95,5.95,2.95,12.95,-4.05
52,51.64,6.64,1.64,12.64,-3.36
53,53.38,8.38,5.38,13.38,-4.62
54,53.55,8.55,3.55,12.55,-2.45
55,54.68,9.68,2.68,12.68,-6.32
56,56.46,7.46,2.46,13.46,-3.54
57,57.19,8.19,5.19,13.19,-2.81
58,57.58,8.58,3.58,12.58,-5.42
59,59.48,10.48,3.48,13.48,-1.52
60,59.81,10.81,1.81,12.81,-6.19
61,60.9,3.9,4.9,12.9,-4.1
62,61.78,4.78,3.78,12.78,-3.22
63,62.53,5.53,2.53,12.53,-5.47
64,64.29,7.29,2.29,13.29,-1.71
65,65.3,8.3,5.3,13.3,-5.7
66,66.5,5.5,4.5,13.5,-3.5
67,66.92,5.92,2.92,12.92,-3.08
68,67.85,6.85,1.85,12.85,-5.15
69,68.86,7.86,4.86,12.86,-2.14
70,69.43,8.43,3.43,12.43,-6.57
71,70.45,5.45,2.45,12.45,-4.55
72,72.1,7.1,2.1,13.1,-2.9
73,73.53,8.53,5.53,13.53,-4.47
74,74,9,4,13,-2
75,74.85,9.85,2.85,12.85,-6.15
76,76.29,7.29,2.29,13.29,-3.71
77,76.69,7.69,4.69,12.69,-3.31
78,77.89,8.89,3.89,12.89,-5.11
79,78.82,9.82,2.82,12.82,-2.18
80,80.55,11.55,2.55,13.55,-5.45
81,81.37,4.37,5.37,13.37,-3.63
82,81.62,4.62,3.62,12.62,-3.38
83,83.43,6.43,3.43,13.43,-4.57
84,83.9,6.9,1.9,12.9,-2.1
85,84.48,7.48,4.48,12.48,-6.52
86,86.06,5.06,4.06,13.06,-3.94
87,87.37,6.37,3.37,13.37,-2.63
88,88.25,7.25,2.25,13.25,-4.75
89,89.2,8.2,5.2,13.2,-1.8
90,90.22,9.22,4.22,13.22,-5.78
91,90.85,5.85,2.85,12.85,-4.15
92,92.05,7.05,2.05,13.05,-2.95
93,93.53,8.53,5.53,13.53,-4.47
94,93.73,8.73,3.73,12.73,-2.27
95,95.46,10.46,3.46,13.46,-5.54
96,96.47,7.47,2.47,13.47,-3.53
97,96.57,7.57,4.57,12.57,-3.43
98,98.4,9.4,4.4,13.4,-4.6
99,99.13,10.13,3.13,13.13,-1.87
100,99.46,10.46,1.46,12.46,-6.54
