ID,X1,X2,X3,X4,X5
1,0.35,3.35,4.35,12.35,-4.65
2,2.13,5.13,4.13,13.13,-2.87
3,3.47,6.47,3.47,13.47,-4.53
4,3.56,6.56,1.56,12.56,-2.44
5,4.4,7.4,4.4,12.4,-6.6
6,5.6,4.6,3.6,12.6,-4.4
7,6.75,5.75,2.75,12.75,-3.25
8,7.78,6.78,1.78,12.78,-5.22
9,8.82,7.82,4.82,12.82,-2.18
10,10.33,9.33,4.33,13.33,-5.67
11,10.94,5.94,2.94,12.94,-4.06
12,11.94,6.94,1.94,12.94,-3.06
13,13.11,8.11,5.11,13.11,-4.89
14,13.98,8.98,3.98,12.98,-2.02
15,14.97,9.97,2.97,12.97,-6.03
16,16.19,7.19,2.19,13.19,-3.81
17,16.87,7.87,4.87,12.87,-3.13
18,18.31,9.31,4.31,13.31,-4.69
19,18.62,9.62,2.62,12.62,-2.38
20,20.32,11.32,2.32,13.32,-5.68
21,21.29,4.29,5.29,13.29,-3.71
22,21.91,4.91,3.91,12.91,-3.09
23,23.44,6.44,3.44,13.44,-4.56
24,23.86,6.86,1.86,12.86,-2.14
25,25.17,8.17,5.17,13.17,-5.83
26,25.86,4.86,3.86,12.86,-4.14
27,26.74,5.74,2.74,12.74,-3.26
28,28.2,7.2,2.2,13.2,-4.8
29,28.96,7.96,4.96,12.96,-2.04
30,29.77,8.77,3.77,12.77,-6.23
31,30.59,5.59,2.59,12.59,-4.41
32,32.3,7.3,2.3,13.3,-2.7
33,32.75,7.75,4.75,12.75,-5.25
34,34,9,4,13,-2
35,34.95,9.95,2.95,12.95,-6.05
36,36.02,7.02,2.02,13.02,-3.98
37,36.76,7.76,4.76,12.76,-3.24
38,37.86,8.86,3.86,12.86,-5.14
39,39.56,10.56,3.56,13.56,-1.44
40,39.56,10.56,1.56,12.56,-6.44
41,40.6,3.6,4.6,12.6,-4.4
42,41.88,4.88,3.88,12.88,-3.12
43,43,6,3,13,-5
44,43.97,6.97,1.97,12.97,-2.03
45,44.93,7.93,4.93,12.93,-6.07
46,45.82,4.82,3.82,12.82,-4.18
47,46.74,5.74,2.74,12.74,-3.26
48,47.65,6.65,1.65,12.65,-5.35
49,48.82,7.82,4.82,12.82,-2.18
50,49.41,8.41,3.41,12.41,-6.59
51,50.79,5.79,2.79,12.79,-4.21
52,51.64,6.64,1.64,12.64,-3.36
53,53.22,8.22,5.22,13.22,-4.78
54,53.8,8.8,3.8,12.8,-2.2
55,54.64,9.64,2.64,12.64,-6.36
56,55.69,6.69,1.69,12.69,-4.31
57,57.59,8.59,5.59,13.59,-2.41
58,58.18,9.18,4.18,13.18,-4.82
59,59.08,10.08,3.08,13.08,-1.92
60,60.2,11.2,2.2,13.2,-5.8
61,61.07,4.07,5.07,13.07,-3.93
62,62.34,5.34,4.34,13.34,-2.66
63,62.88,5.88,2.88,12.88,-5.12
64,64.35,7.35,2.35,13.35,-1.65
65,65.46,8.46,5.46,13.46,-5.54
66,65.82,4.82,3.82,12.82,-4.18
67,67.44,6.44,3.44,13.44,-2.56
68,67.81,6.81,1.81,12.81,-5.19
69,68.41,7.41,4.41,12.41,-2.59
70,69.53,8.53,3.53,12.53,-6.47
71,71.1,6.1,3.1,13.1,-3.9
72,72.04,7.04,2.04,13.04,-2.96
73,73.43,8.43,5.43,13.43,-4.57
74,74.17,9.17,4.17,13.17,-1.83
75,75.15,10.15,3.15,13.15,-5.85
76,75.86,6.86,1.86,12.86,-4.14
77,77.47,8.47,5.47,13.47,-2.53
78,78.01,9.01,4.01,13.01,-4.99
79,78.87,9.87,2.87,12.87,-2.13
80,80.59,11.59,2.59,13.59,-5.41
81,80.8,3.8,4.8,12.8,-4.2
82,82.14,5.14,4.14,13.14,-2.86
83,83.48,6.48,3.48,13.48,-4.52
84,84.6,7.6,2.6,13.6,-1.4
85,85.53,8.53,5.53,13.53,-5.47
86,86.15,5.15,4.15,13.15,-3.85
87,86.92,5.92,2.92,12.92,-3.08
88,88.11,7.11,2.11,13.11,-4.89
89,88.54,7.54,4.54,12.54,-2.46
90,89.58,8.58,3.58,12.58,-6.42
91,91.02,6.02,3.02,13.02,-3.98
92,91.85,6.85,1.85,12.85,-3.15
93,92.51,7.51,4.51,12.51,-5.49
94,93.8,8.8,3.8,12.8,-2.2
95,95.43,10.43,3.43,13.43,-5.57
96,95.58,6.58,1.58,12.58,-4.42
97,97.15,8.15,5.15,13.15,-2.85
98,98.1,9.1,4.1,13.1,-4.9
99,99.34,10.34,3.34,13.34,-1.66
100,99.86,10.86,1.86,12.86,-6.14
