ID,X1,X2,X3,X4,X5
1,1.21,4.21,5.21,13.21,-3.79
2,1.4,4.4,3.4,12.4,-3.6
3,3.2,6.2,3.2,13.2,-4.8
4,4.19,7.19,2.19,13.19,-1.81
5,4.61,7.61,4.61,12.61,-6.39
6,5.45,4.45,3.45,12.45,-4.55
7,7.2,6.2,3.2,13.2,-2.8
8,8.06,7.06,2.06,13.06,-4.94
9,8.74,7.74,4.74,12.74,-2.26
10,9.52,8.52,3.52,12.52,-6.48
11,11.29,6.29,3.29,13.29,-3.71
12,12.41,7.41,2.41,13.41,-2.59
13,13.29,8.29,5.29,13.29,-4.71
14,13.96,8.96,3.96,12.96,-2.04
15,14.51,9.51,2.51,12.51,-6.49
16,16.27,7.27,2.27,13.27,-3.73
17,17.3,8.3,5.3,13.3,-2.7
18,17.67,8.67,3.67,12.67,-5.33
19,19.27,10.27,3.27,13.27,-1.73
20,19.71,10.71,1.71,12.71,-6.29
21,20.57,3.57,4.57,12.57,-4.43
22,21.98,4.98,3.98,12.98,-3.02
23,23.12,6.12,3.12,13.12,-4.88
24,23.66,6.66,1.66,12.66,-2.34
25,24.74,7.74,4.74,12.74,-6.26
26,26.58,5.58,4.58,13.58,-3.42
27,26.52,5.52,2.52,12.52,-3.48
28,28.6,7.6,2.6,13.6,-4.4
29,29.23,8.23,5.23,13.23,-1.77
30,29.56,8.56,3.56,12.56,-6.44
31,31.09,6.09,3.09,13.09,-3.91
32,32.57,7.57,2.57,13.57,-2.43
33,33.3,8.3,5.3,13.3,-4.7
34,34.49,9.49,4.49,13.49,-1.51
35,35.37,10.37,3.37,13.37,-5.63
36,36.41,7.41,2.41,13.41,-3.59
37,37.46,8.46,5.46,13.46,-2.54
38,37.82,8.82,3.82,12.82,-5.18
39,39.3,10.3,3.3,13.3,-1.7
40,39.86,10.86,1.86,12.86,-6.14
41,40.99,3.99,4.99,12.99,-4.01
42,41.9,4.9,3.9,12.9,-3.1
43,42.82,5.82,2.82,12.82,-5.18
44,44.3,7.3,2.3,13.3,-1.7
45,44.46,7.46,4.46,12.46,-6.54
46,45.8,4.8,3.8,12.8,-4.2
47,47.34,6.34,3.34,13.34,-2.66
48,48.07,7.07,2.07,13.07,-4.93
49,49.44,8.44,5.44,13.44,-1.56
50,50.4,9.4,4.4,13.4,-5.6
51,51.08,6.08,3.08,13.08,-3.92
52,52.44,7.44,2.44,13.44,-2.56
53,52.75,7.75,4.75,12.75,-5.25
54,54.28,9.28,4.28,13.28,-1.72
55,54.81,9.81,2.81,12.81,-6.19
56,56.32,7.32,2.32,13.32,-3.68
57,57.47,8.47,5.47,13.47,-2.53
58,57.55,8.55,3.55,12.55,-5.45
59,58.9,9.9,2.9,12.9,-2.1
60,59.73,10.73,1.73,12.73,-6.27
61,61.34,4.34,5.34,13.34,-3.66
62,62.1,5.1,4.1,13.1,-2.9
63,63.49,6.49,3.49,13.49,-4.51
64,63.69,6.69,1.69,12.69,-2.31
65,65.12,8.12,5.12,13.12,-5.88
66,66.43,5.43,4.43,13.43,-3.57
67,67.46,6.46,3.46,13.46,-2.54
68,68.55,7.55,2.55,13.55,-4.45
69,68.61,7.61,4.61,12.61,-2.39
70,69.43,8.43,3.43,12.43,-6.57
71,70.65,5.65,2.65,12.65,-4.35
72,71.89,6.89,1.89,12.89,-3.11
73,72.77,7.77,4.77,12.77,-5.23
74,74.38,9.38,4.38,13.38,-1.62
75,75.19,10.19,3.19,13.19,-5.81
76,75.77,6.77,1.77,12.77,-4.23
77,77.27,8.27,5.27,13.27,-2.73
78,77.59,8.59,3.59,12.59,-5.41
79,79.18,10.18,3.18,13.18,-1.82
80,80.24,11.24,2.24,13.24,-5.76
81,80.95,3.95,4.95,12.95,-4.05
82,82.48,5.48,4.48,13.48,-2.52
83,82.84,5.84,2.84,12.84,-5.16
84,83.7,6.7,1.7,12.7,-2.3
85,85.58,8.58,5.58,13.58,-5.42
86,86.05,5.05,4.05,13.05,-3.95
87,87.24,6.24,3.24,13.24,-2.76
88,87.79,6.79,1.79,12.79,-5.21
89,89.46,8.46,5.46,13.46,-1.54
90,89.66,8.66,3.66,12.66,-6.34
91,91.08,6.08,3.08,13.08,-3.92
92,91.86,6.86,1.86,12.86,-3.14
93,92.81,7.81,4.81,12.81,-5.19
94,94.1,9.1,4.1,13.1,-1.9
95,95.12,10.12,3.12,13.12,-5.88
96,95.67,6.67,1.67,12.67,-4.33
97,97,8,5,13,-3
98,97.76,8.76,3.76,12.76,-5.24
99,98.6,9.6,2.6,12.6,-2.4
100,100.04,11.04,2.04,13.04,-5.96
