ID,X1,X2,X3,X4,X5
1,0.87,3.87,4.87,12.87,-4.13
2,2.11,5.11,4.11,13.11,-2.89
3,2.73,5.73,2.73,12.73,-5.27
4,3.82,6.82,1.82,12.82,-2.18
5,5.34,8.34,5.34,13.34,-5.66
6,6.29,5.29,4.29,13.29,-3.71
7,7.41,6.41,3.41,13.41,-2.59
8,8.17,7.17,2.17,13.17,-4.83
9,9.18,8.18,5.18,13.18,-1.82
10,10.27,9.27,4.27,13.27,-5.73
11,10.83,5.83,2.83,12.83,-4.17
12,12.06,7.06,2.06,13.06,-2.94
13,13.52,8.52,5.52,13.52,-4.48
14,13.49,8.49,3.49,12.49,-2.51
15,14.8,9.8,2.8,12.8,-6.2
16,15.5,6.5,1.5,12.5,-4.5
17,17.26,8.26,5.26,13.26,-2.74
18,17.89,8.89,3.89,12.89,-5.11
19,19.24,10.24,3.24,13.24,-1.76
20,20.17,11.17,2.17,13.17,-5.83
21,20.74,3.74,4.74,12.74,-4.26
22,22.47,5.47,4.47,13.47,-2.53
23,22.66,5.66,2.66,12.66,-5.34
24,24.16,7.16,2.16,13.16,-1.84
25,24.88,7.88,4.88,12.88,-6.12
26,25.95,4.95,3.95,12.95,-4.05
27,26.56,5.56,2.56,12.56,-3.44
28,27.97,6.97,1.97,12.97,-5.03
29,29.1,8.1,5.1,13.1,-1.9
30,29.99,8.99,3.99,12.99,-6.01
31,31.37,6.37,3.37,13.37,-3.63
32,32.17,7.17,2.17,13.17,-2.83
33,32.79,7.79,4.79,12.79,-5.21
34,34.52,9.52,4.52,13.52,-1.48
35,35.49,10.49,3.49,13.49,-5.51
36,35.94,6.94,1.94,12.94,-4.06
37,36.43,7.43,4.43,12.43,-3.57
38,37.84,8.84,3.84,12.84,-5.16
39,39.35,10.35,3.35,13.35,-1.65
40,40.13,11.13,2.13,13.13,-5.87
41,41.13,4.13,5.13,13.13,-3.87
42,42.44,5.44,4.44,13.44,-2.56
43,42.77,5.77,2.77,12.77,-5.23
44,44.09,7.09,2.09,13.09,-1.91
45,44.59,7.59,4.59,12.59,-6.41
46,45.85,4.85,3.85,12.85,-4.15
47,46.4,5.4,2.4,12.4,-3.6
48,48.05,7.05,2.05,13.05,-4.95
49,49.23,8.23,5.23,13.23,-1.77
50,50.3,9.3,4.3,13.3,-5.7
51,50.82,5.82,2.82,12.82,-4.18
52,52.41,7.41,2.41,13.41,-2.59
53,53.47,8.47,5.47,13.47,-4.53
54,54.56,9.56,4.56,13.56,-1.44
55,55.49,10.49,3.49,13.49,-5.51
56,55.65,6.65,1.65,12.65,-4.35
57,57.58,8.58,5.58,13.58,-2.42
58,58.34,9.34,4.34,13.34,-4.66
59,59.01,10.01,3.01,13.01,-1.99
60,60.08,11.08,2.08,13.08,-5.92
61,60.96,3.96,4.96,12.96,-4.04
62,61.82,4.82,3.82,12.82,-3.18
63,63.02,6.02,3.02,13.02,-4.98
64,64.55,7.55,2.55,13.55,-1.45
65,64.44,7.44,4.44,12.44,-6.56
66,65.79,4.79,3.79,12.79,-4.21
67,66.9,5.9,2.9,12.9,-3.1
68,67.52,6.52,1.52,12.52,-5.48
69,69.18,8.18,5.18,13.18,-1.82
70,69.52,8.52,3.52,12.52,-6.48
71,70.59,5.59,2.59,12.59,-4.41
72,72.53,7.53,2.53,13.53,-2.47
73,72.47,7.47,4.47,12.47,-5.53
74,74.15,9.15,4.15,13.15,-1.85
75,75.09,10.09,3.09,13.09,-5.91
76,75.65,6.65,1.65,12.65,-4.35
77,76.8,7.8,4.8,12.8,-3.2
78,78.18,9.18,4.18,13.18,-4.82
79,78.89,9.89,2.89,12.89,-2.11
80,80.09,11.09,2.09,13.09,-5.91
81,81.41,4.41,5.41,13.41,-3.59
82,82.05,5.05,4.05,13.05,-2.95
83,82.52,5.52,2.52,12.52,-5.48
84,84.09,7.09,2.09,13.09,-1.91
85,84.84,7.84,4.84,12.84,-6.16
86,85.79,4.79,3.79,12.79,-4.21
87,86.8,5.8,2.8,12.8,-3.2
88,88.3,7.3,2.3,13.3,-4.7
89,89.2,8.2,5.2,13.2,-1.8
90,90.15,9.15,4.15,13.15,-5.85
91,90.63,5.63,2.63,12.63,-4.37
92,91.97,6.97,1.97,12.97,-3.03
93,92.56,7.56,4.56,12.56,-5.44
94,94.2,9.2,4.2,13.2,-1.8
95,95.16,10.16,3.16,13.16,-5.84
96,96.22,7.22,2.22,13.22,-3.78
97,97.21,8.21,5.21,13.21,-2.79
98,97.85,8.85,3.85,12.85,-5.15
99,99.07,10.07,3.07,13.07,-1.93
100,99.7,10.7,1.7,12.7,-6.3
