ID,X1,X2,X3,X4,X5
1,1.45,4.45,5.45,13.45,-3.55
2,1.52,4.52,3.52,12.52,-3.48
3,3.28,6.28,3.28,13.28,-4.72
4,3.85,6.85,1.85,12.85,-2.15
5,5.25,8.25,5.25,13.25,-5.75
6,6.49,5.49,4.49,13.49,-3.51
7,6.57,5.57,2.57,12.57,-3.43
8,7.9,6.9,1.9,12.9,-5.1
9,9.48,8.48,5.48,13.48,-1.52
10,10.47,9.47,4.47,13.47,-5.53
11,10.72,5.72,2.72,12.72,-4.28
12,11.52,6.52,1.52,12.52,-3.48
13,12.59,7.59,4.59,12.59,-5.41
14,13.83,8.83,3.83,12.83,-2.17
15,14.77,9.77,2.77,12.77,-6.23
16,15.82,6.82,1.82,12.82,-4.18
17,16.69,7.69,4.69,12.69,-3.31
18,18.05,9.05,4.05,13.05,-4.95
19,18.73,9.73,2.73,12.73,-2.27
20,20.11,11.11,2.11,13.11,-5.89
21,21.08,4.08,5.08,13.08,-3.92
22,22.45,5.45,4.45,13.45,-2.55
23,22.4,5.4,2.4,12.4,-5.6
24,23.97,6.97,1.97,12.97,-2.03
25,25.24,8.24,5.24,13.24,-5.76
26,25.47,4.47,3.47,12.47,-4.53
27,26.57,5.57,2.57,12.57,-3.43
28,28.32,7.32,2.32,13.32,-4.68
29,29.43,8.43,5.43,13.43,-1.57
30,30.18,9.18,4.18,13.18,-5.82
31,30.62,5.62,2.62,12.62,-4.38
32,31.71,6.71,1.71,12.71,-3.29
33,32.54,7.54,4.54,12.54,-5.46
34,34.37,9.37,4.37,13.37,-1.63
35,35.11,10.11,3.11,13.11,-5.89
36,35.55,6.55,1.55,12.55,-4.45
37,36.71,7.71,4.71,12.71,-3.29
38,37.87,8.87,3.87,12.87,-5.13
39,39.24,10.24,3.24,13.24,-1.76
40,39.67,10.67,1.67,12.67,-6.33
41,41.27,4.27,5.27,13.27,-3.73
42,42.18,5.18,4.18,13.18,-2.82
43,42.94,5.94,2.94,12.94,-5.06
44,44.23,7.23,2.23,13.23,-1.77
45,44.83,7.83,4.83,12.83,-6.17
46,46.05,5.05,4.05,13.05,-3.95
47,46.59,5.59,2.59,12.59,-3.41
48,47.66,6.66,1.66,12.66,-5.34
49,48.76,7.76,4.76,12.76,-2.24
50,50.12,9.12,4.12,13.12,-5.88
51,50.82,5.82,2.82,12.82,-4.18
52,51.56,6.56,1.56,12.56,-3.44
53,52.57,7.57,4.57,12.57,-5.43
54,53.97,8.97,3.97,12.97,-2.03
55,54.58,9.58,2.58,12.58,-6.42
56,55.4,6.4,1.4,12.4,-4.6
57,57.45,8.45,5.45,13.45,-2.55
58,57.69,8.69,3.69,12.69,-5.31
59,59.19,10.19,3.19,13.19,-1.81
60,60.48,11.48,2.48,13.48,-5.52
61,60.95,3.95,4.95,12.95,-4.05
62,61.5,4.5,3.5,12.5,-3.5
63,62.95,5.95,2.95,12.95,-5.05
64,63.46,6.46,1.46,12.46,-2.54
65,65,8,5,13,-6
66,66.13,5.13,4.13,13.13,-3.87
67,66.47,5.47,2.47,12.47,-3.53
68,68.16,7.16,2.16,13.16,-4.84
69,69.16,8.16,5.16,13.16,-1.84
70,70.3,9.3,4.3,13.3,-5.7
71,71.05,6.05,3.05,13.05,-3.95
72,71.96,6.96,1.96,12.96,-3.04
73,72.83,7.83,4.83,12.83,-5.17
74,73.46,8.46,3.46,12.46,-2.54
75,75.5,10.5,3.5,13.5,-5.5
76,76.27,7.27,2.27,13.27,-3.73
77,77.28,8.28,5.28,13.28,-2.72
78,77.78,8.78,3.78,12.78,-5.22
79,78.85,9.85,2.85,12.85,-2.15
80,79.96,10.96,1.96,12.96,-6.04
81,81.48,4.48,5.48,13.48,-3.52
82,81.9,4.9,3.9,12.9,-3.1
83,83.27,6.27,3.27,13.27,-4.73
84,83.77,6.77,1.77,12.77,-2.23
85,85.31,8.31,5.31,13.31,-5.69
86,85.9,4.9,3.9,12.9,-4.1
87,87.46,6.46,3.46,13.46,-2.54
88,88.04,7.04,2.04,13.04,-4.96
89,89.15,8.15,5.15,13.15,-1.85
90,90.37,9.37,4.37,13.37,-5.63
91,91.15,6.15,3.15,13.15,-3.85
92,92.02,7.02,2.02,13.02,-2.98
93,92.65,7.65,4.65,12.65,-5.35
94,94.07,9.07,4.07,13.07,-1.93
95,94.63,9.63,2.63,12.63,-6.37
96,96.43,7.43,2.43,13.43,-3.57
97,97.46,8.46,5.46,13.46,-2.54
98,98.54,9.54,4.54,13.54,-4.46
99,99.13,10.13,3.13,13.13,-1.87
100,99.64,10.64,1.64,12.64,-6.36
