ID,X1,X2,X3,X4,X5
1,0.25,3.25,4.25,12.25,-4.75
2,1.9,4.9,3.9,12.9,-3.1
3,2.86,5.86,2.86,12.86,-5.14
4,3.7,6.7,1.7,12.7,-2.3
5,4.69,7.69,4.69,12.69,-6.31
6,6.29,5.29,4.29,13.29,-3.71
7,6.75,5.75,2.75,12.75,-3.25
8,7.78,6.78,1.78,12.78,-5.22
9,9.34,8.34,5.34,13.34,-1.66
10,9.96,8.96,3.96,12.96,-6.04
11,10.63,5.63,2.63,12.63,-4.37
12,11.74,6.74,1.74,12.74,-3.26
13,13.05,8.05,5.05,13.05,-4.95
14,14.16,9.16,4.16,13.16,-1.84
15,14.79,9.79,2.79,12.79,-6.21
16,16.42,7.42,2.42,13.42,-3.58
17,17.28,8.28,5.28,13.28,-2.72
18,18.45,9.45,4.45,13.45,-4.55
19,19.3,10.3,3.3,13.3,-1.7
20,19.84,10.84,1.84,12.84,-6.16
21,20.92,3.92,4.92,12.92,-4.08
22,21.51,4.51,3.51,12.51,-3.49
23,22.45,5.45,2.45,12.45,-5.55
24,23.73,6.73,1.73,12.73,-2.27
25,24.44,7.44,4.44,12.44,-6.56
26,25.92,4.92,3.92,12.92,-4.08
27,26.8,5.8,2.8,12.8,-3.2
28,27.69,6.69,1.69,12.69,-5.31
29,28.92,7.92,4.92,12.92,-2.08
30,29.87,8.87,3.87,12.87,-6.13
31,30.51,5.51,2.51,12.51,-4.49
32,31.64,6.64,1.64,12.64,-3.36
33,33.16,8.16,5.16,13.16,-4.84
34,34.19,9.19,4.19,13.19,-1.81
35,35.51,10.51,3.51,13.51,-5.49
36,35.79,6.79,1.79,12.79,-4.21
37,37.21,8.21,5.21,13.21,-2.79
38,38.1,9.1,4.1,13.1,-4.9
39,39.14,10.14,3.14,13.14,-1.86
40,40.54,11.54,2.54,13.54,-5.46
41,41.13,4.13,5.13,13.13,-3.87
42,41.8,4.8,3.8,12.8,-3.2
43,42.71,5.71,2.71,12.71,-5.29
44,43.88,6.88,1.88,12.88,-2.12
45,45.48,8.48,5.48,13.48,-5.52
46,46.54,5.54,4.54,13.54,-3.46
47,47.37,6.37,3.37,13.37,-2.63
48,47.71,6.71,1.71,12.71,-5.29
49,48.94,7.94,4.94,12.94,-2.06
50,50.39,9.39,4.39,13.39,-5.61
51,51.29,6.29,3.29,13.29,-3.71
52,51.93,6.93,1.93,12.93,-3.07
53,52.73,7.73,4.73,12.73,-5.27
54,54.19,9.19,4.19,13.19,-1.81
55,54.64,9.64,2.64,12.64,-6.36
56,55.5,6.5,1.5,12.5,-4.5
57,56.83,7.83,4.83,12.83,-3.17
58,58.32,9.32,4.32,13.32,-4.68
59,58.92,9.92,2.92,12.92,-2.08
60,59.74,10.74,1.74,12.74,-6.26
61,60.72,3.72,4.72,12.72,-4.28
62,61.87,4.87,3.87,12.87,-3.13
63,62.83,5.83,2.83,12.83,-5.17
64,64.02,7.02,2.02,13.02,-1.98
65,65.34,8.34,5.34,13.34,-5.66
66,65.72,4.72,3.72,12.72,-4.28
67,67.21,6.21,3.21,13.21,-2.79
68,67.64,6.64,1.64,12.64,-5.36
69,69.03,8.03,5.03,13.03,-1.97
70,70.1,9.1,4.1,13.1,-5.9
71,71.37,6.37,3.37,13.37,-3.63
72,72.13,7.13,2.13,13.13,-2.87
73,72.77,7.77,4.77,12.77,-5.23
74,73.78,8.78,3.78,12.78,-2.22
75,75.33,10.33,3.33,13.33,-5.67
76,76.42,7.42,2.42,13.42,-3.58
77,76.75,7.75,4.75,12.75,-3.25
78,78.06,9.06,4.06,13.06,-4.94
79,79.24,10.24,3.24,13.24,-1.76
80,79.88,10.88,1.88,12.88,-6.12
81,81.31,4.31,5.31,13.31,-3.69
82,82.39,5.39,4.39,13.39,-2.61
83,82.56,5.56,2.56,12.56,-5.44
84,84.28,7.28,2.28,13.28,-1.72
85,85.4,8.4,5.4,13.4,-5.6
86,86.2,5.2,4.2,13.2,-3.8
87,87.37,6.37,3.37,13.37,-2.63
88,87.44,6.44,1.44,12.44,-5.56
89,89.16,8.16,5.16,13.16,-1.84
90,90.05,9.05,4.05,13.05,-5.95
91,91.07,6.07,3.07,13.07,-3.93
92,91.72,6.72,1.72,12.72,-3.28
93,93.29,8.29,5.29,13.29,-4.71
94,94.06,9.06,4.06,13.06,-1.94
95,94.63,9.63,2.63,12.63,-6.37
96,96.36,7.36,2.36,13.36,-3.64
97,97.38,8.38,5.38,13.38,-2.62
98,97.73,8.73,3.73,12.73,-5.27
99,98.86,9.86,2.86,12.86,-2.14
100,99.81,10.81,1.81,12.81,-6.19
